title,tagline
Bloodsport II,"Caught between honor and revenge, how far will one man go..."
Pather Panchali,
The World of Apu,
Mystery Science Theater 3000: The Movie,Every year Hollywood makes hundreds of movies. This is one of them.
Space Jam,Get ready to jam.
Barbarella,See Barbarella do her thing!
Some Folks Call It a Sling Blade,
The Run of the Country,An unforgettable romance
Alphaville,Suddenly the word is Alphaville... and a secret agent is in a breathless race against the Masters of the Future.
Coup de Torchon,
It's My Party,
Country Life,
Operation Dumbo Drop,A Top-Secret Mission Of Gigantic Proportions!
The Promise,"A love, a hope, a wall."
The Promise,"A love, a hope, a wall."
Mrs. Winterbourne,The story of a girl who is going from filthy to rich
Solo,Part man. Part machine. Total weapon.
The Substitute,
True Crime,Trust no one.
Butterfly Kiss,
Feeling Minnesota,"Just when she met the man of her dreams, along came her husband to ruin everything."
Delta of Venus,"In 1939, Elena went to Paris searching for her voice as a writer. What she found was her voice as a woman."
Angus,For everyone on the outside looking in... your moment has arrived!
Faces,
Boys,No one stays innocent forever.
The Quest,Go the distance
Cosi,
Mulholland Falls,"This isn't America, this is Los Angeles."
The Truth About Cats & Dogs,Brian's about to discover the woman he loves isn't the woman he loves.
Oliver & Company,The first Disney movie with attitude.
Celtic Pride,"If you can't beat 'em, steal him."
Flipper,This summer it's finally safe to go back in the water.
Dead Man,No one can survive becoming a legend.
The Horseman on the Roof,
The Visitors,They Weren't Born Yesterday!
Multiplicity,"Sometimes to get more out of life, you have to make more of yourself."
"The Haunted World of Edward D. Wood, Jr.",Can your MIND stand the SHOCKING TRUTH?
The Craft,Welcome to the witching hour.
The Great White Hype,If you can't find the perfect contender....make one.
Last Dance,Sometimes justice is a crime
Cold Comfort Farm,She discovered a new branch of her family tree... the one with all the nuts.
Heaven's Prisoners,"For an ex-cop obsessed with an unsolved murder, trusting the wrong woman could be a deadly choice."
The Rock,Alcatraz.  Only one man has ever broken out.  Now five million lives depend on two men breaking in.
Cemetery Man,"Zombies, guns, and sex, OH MY!!!"
Twister,The Dark Side of Nature.
Barb Wire,Don't call me babe!
Ghost in the Shell,It found a voice... Now it needs a body.
Thinner,Let the curse fit the crime.
Spy Hard,All the action. All the women. Half the intelligence.
A Close Shave,From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.
Force of Evil,
The Stupids,As American as apple pie and twice as smart.
The Arrival,The greatest danger facing our world has been the planet's best kept secret... until now.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,The hot-line suspense comedy
A Month by the Lake,
Gold Diggers: The Secret of Bear Mountain,Some friendships are worth a fortune
Kim,Famed Spectacular Adventure Story Filmed Against Authentic Backgrounds in Mystic India The Greatest Spy Thriller of Them All!
Carmen Miranda: Bananas Is My Business,
Ashes of Time,
Maya Lin: A Strong Clear Vision,The story of The Vietnam Veterans Memorial and its inspiring creator.
Stalingrad,
The Phantom,Slam Evil!
Striptease,Some People Get Into Trouble No Matter What They WEAR.
Heavy,
Jack,Jack Powell is about to tackle his biggest adventure ever... the fifth grade!
I Shot Andy Warhol,You only get one shot at fame.
The Grass Harp,Love is a chain of love... as nature is a chain of life.
Spirits of the Dead,The ultimate orgy of evil
Trainspotting,Choose life.
Til There Was You,
Independence Day,Earth. Take a good look. It might be your last.
Stealing Beauty,The most beautiful place to be is in love.
The Fan,All fans have a favorite player.  This one has a favorite target.
The Hunchback of Notre Dame,
The Cable Guy,There's no such thing as free cable.
Kingpin,You wouldn't want to meet these pinheads in an alley.
Eraser,He will erase your past to protect your future.
The Gate of Heavenly Peace,
The Nutty Professor,"Inside Sherman Klump, a party animal is about to break out."
My Life and Times With Antonin Artaud,
Daylight,No air. No escape. No time.
The Frighteners,No Rest for the Wicked.
Lone Star,John Sayles invites you to return to the scene of the crime.
Harriet the Spy,On your case!
Phenomenon,Some things in life just can't be explained.
Walking and Talking,A movie for everyone who wants to get married and stay single at the same time.
She's the One,A romantic comedy about two brothers... and the one thing that came between them.
A Time to Kill,Experience a time you'll never forget.
American Buffalo,They had a plan. It wasn't worth a nickle.
Alaska,A missing father. A desperate search. An unforgettable adventure.
Fled,See how they run.
Kazaam,The world's most powerful genie has just met his match
Larger Than Life,He's got 5 days to go coast-to-coast. (There's just one BIG problem.)
Two Deaths,Obsesssion Can Be Murder
A Very Brady Sequel,The more everything changes the more they stay the same.
Death in the Garden,Torrid!...Tantalizing!...Tempestuous!...
Kaspar Hauser,
The Adventures of Pinocchio,A new angle on the classic tale... And that's no lie!
Joe's Apartment,Sex Bugs Rock 'n Roll
The First Wives Club,Don't get mad. Get everything.
Stonewall,The fight for the right to love
Ransom,Someone is going to pay.
High School High,A Dangerous Mind is a terrible thing to waste
Phat Beach,Ain't nothin' but a g-string.
Foxfire,It took them 17 years to learn the rules. And one week to break them all.
Chain Reaction,Reaction Time 8-4-96
Matilda,A little magic goes a long way.
Emma,Cupid is armed and dangerous!
The Crow: City of Angels,Believe in the power of another
House Arrest,There's More Than One Way To Keep A Marriage Together...
Eyes Without a Face,
Bordello of Blood,
The Story of Xinghua,
The Day the Sun Turned Cold,
Flirt,
The Spitfire Grill,"To a town with no future, comes a girl with a past."
Escape from L.A.,Snake Is Back.
Cyclo,
Basquiat,"In 1981, A Nineteen-Year-Old Unknown Graffiti Writer Took The New York Art World By Storm. The Rest Is Art History."
Tin Cup,Golf Pro. Love Amateur.
The Ballad of Narayama,
The Godfather,An offer you can't refuse.
Police Story 3: Supercop,"There's never a cop around when you need one, but when this cop's around, all you need is one."
Wife,
Wife,
Small Faces,You are now entering Tongland
Bound,"In their world, you can't buy freedom, but you can steal it."
Carpool,A dad in a hurry. A man on the run. And five kids with an attitude.
Kansas City,"Kansas City, 1934. Anything could happen here. One night it did."
Gone Fishin',Even the fish are laughing!
Vive L'Amour,
Nothing to Lose,The Most Dangerous Man Alive Is A Man With Nothing To Lose
Project S,Only One Force Can Stop This Crime Wave....And She's One Tough Cop!
The Relic,The Next Evolution In Terror.
The Island of Dr. Moreau,The gates of hell are unlocked.
First Kid,He's young. He's wild. He's fun. And he's the one protecting the president's son.
The Trigger Effect,"When Nothing Works, Anything Goes."
Bogus,"A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid."
Bulletproof,Tough cop. Hostile witness.
The Land Before Time III: The Time of the Great Giving,
1-900,
Halloween: The Curse of Michael Myers,Haddonfield is ready to celebrate Halloween.... so is Michael Myers!
Twelfth Night,
Mother Night,The truth is more shocking than the uniform he wears... HE WAS AN AMERICAN SPY.
Wild Reeds,
For Whom the Bell Tolls,Thunderous! Tender! Touching!
The Philadelphia Story,Broadway's howling year-run comedy hit of the snooty society beauty who slipped and fell - IN LOVE!
Singin' in the Rain,What a Glorious Feeling!
An American in Paris,What a joy! It's M-G-M's Technicolor musical!
Funny Face,'S Wonderful! 'S Marvelous!
Breakfast at Tiffany's,"Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!"
Vertigo,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!
Rear Window,It only takes one witness to spoil the perfect crime.
It Happened One Night,TOGETHER... for the first time
Gaslight,Strange drama of a captive sweetheart!
The Gay Divorcee,The King and Queen of 'Carioca'
North by Northwest,It's a deadly game of 'tag' and Cary Grant is 'it'...
The Apartment,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!"
Some Like It Hot,The movie too HOT for words!
Charade,Is anyone really who they seem to be?
Casablanca,They had a date with fate in Casablanca!
The Maltese Falcon,A story as EXPLOSIVE as his BLAZING automatics!
My Fair Lady,The loverliest motion picture of them all!
Sabrina,...the chauffeur's daughter who learned her stuff in Paris
Roman Holiday,Romance in romantic Rome!
The Little Princess,A great classic comes to life in glorious Technicolor!
Meet Me in St. Louis,M·G·M's glorious love story with music!
The Wizard of Oz,"We're off to see the Wizard, the wonderful Wizard of Oz!"
Gone with the Wind,The greatest romance of all time!
My Favorite Year,
Sunset Boulevard,A Hollywood Story
Citizen Kane,It's Terrific!
2001: A Space Odyssey,An epic drama of adventure and exploration
All About Eve,It's all about women... and their men!
The Women,It's all about men!
Rebecca,The shadow of this woman darkened their love.
Foreign Correspondent,The thrill spectacle of the year!
Notorious,Notorious woman of affairs... Adventurous man of the world
Spellbound,The maddest love that ever possessed a woman.
An Affair to Remember,In Italy... on the Mediterranean... across an ocean... and all over New York!
